,,,,,,
,,,,,,
Группа проверок,Название проверки,Проверка,Приоритет,Отметка о прохождении теста,Мои комментарии и вопросы,Комментарии руководителя
,Закрытие страницы цитат смахиванием вправо (swipe right) при закрытых текстах цитат,"При смахивании вправо (swipe right) происходит переход на предыдующую открытую страницу при закрытых текстах цитатах, так и при лткрытых)",Высокий ,Пройден,,
,Закрытие страницы цитат смахиванием вправо (swipe right) при открытых текстах цитат,При смахивании вправо (swipe right) происходит переход на предыдующую открытую страницу при окрытых текстах цитат,Высокий ,Пройден,,
,Закрытие страницы цитат смахиванием влево (swipe left) при закрытых текстах цитат,"При смахивании влево (swipe left) происходит переход на предыдующую открытую страницу при закрытых текстах цитатах, так и при лткрытых)",?,?,При сахивании влево должно быть то же самое чсто и вправо? Или это баг?,
,Закрытие страницы цитат смахиванием влево (swipe left) при открытых текстах цитат,При смахивании влево (swipe left) происходит переход на предыдующую открытую страницу при окрытых текстах цитат,?,?,,
,Закрытие списка цитат через меню (иконка с тремя полосками),"При нажатии иконки с тремя полосками в в верхней панели приложения (радел цитат открыт) расрывается меню с разделами, выбор любого из тих разелоа приводит к переходу в этот раздел и закрытию страницы цитат",Высокий ,Пройден,,
,Закрытие спискацитат через иконку бабочка (через иконку открытия),???,?,?,При открытой странице цитат - повторное нажатие на иконку с бабочкой не приводит к закрытию этой страницы и переходу на главную страницу приложения. Так и должно быть или это баг?,
Навигация по Странице о приложении  About,Переход на страницу  с информвцией о приложении About,"При открытии бокового меню верхней панели приложения присутствует кнопка About, при нажатии на эту кнопку открывается страница С информацией о приложении ",Средний,Пройден,,
, Выход со страницы с информвцией о приложении About,"При отккрытой странице About в верхней панели приложения причутствует стрелка ""назад"", при нажатии на эту стрелку происходит возврат к предыдущей открытой странице.",Средний,Пройден,,
,,,,,,
,.,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,,,,,,
,,,,,,
,.,,,,,
,,,,,,
,,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,,,,,,
,),,,,,
,.,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,,,,,,
, ,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,.,,,,,
,,,,,,
,.,,,,,
,.,,,,,
,.,,,,,
